,fov,peak,birth_label,birth_time,division_time,sb,sd,delta,elong_rate,tau,width,septum_position
f10p0128t0258r01,10,128,1,258,271,2.0234375,3.640625,1.6171875,0.931640625,39.0,0.5337,0.517578125
f10p0128t0258r02,10,128,2,258,274,1.755859375,3.392578125,1.63671875,0.81982421875,48.0,0.5933,0.50146484375
f10p0128t0258r03,10,128,3,258,273,1.884765625,3.451171875,1.56640625,0.77685546875,45.0,0.552,0.52783203125
f10p0128t0258r04,10,128,4,258,274,2.08984375,3.841796875,1.751953125,0.8056640625,48.0,0.556,0.458251953125
f10p0128t0271r01,10,128,1,271,288,1.884765625,4.1015625,2.21484375,0.8935546875,51.0,0.519,0.4765625
f10p0128t0274r03,10,128,3,274,291,1.701171875,3.4609375,1.759765625,0.87548828125,51.0,0.5864,0.491455078125
f10p0128t0274r04,10,128,4,274,290,1.69140625,3.412109375,1.720703125,0.90625,48.0,0.5435,0.50439453125
f10p0128t0286r02,10,128,2,286,303,1.6904296875,3.322265625,1.630859375,0.80517578125,51.0,0.555,0.51025390625
f10p0128t0286r03,10,128,3,286,303,1.6953125,3.529296875,1.8330078125,0.88134765625,51.0,0.538,0.52099609375
f10p0128t0288r01,10,128,1,288,302,1.9541015625,3.779296875,1.82421875,0.94873046875,42.0,0.5117,0.465576171875
f10p0128t0288r02,10,128,2,288,302,2.146484375,3.966796875,1.8212890625,0.84033203125,42.0,0.5303,0.541015625
f10p0128t0302r01,10,128,1,302,322,1.759765625,3.908203125,2.1484375,0.826171875,60.0,0.53,0.43359375
f10p0128t0302r02,10,128,2,302,318,2.01953125,3.91796875,1.8994140625,0.7998046875,48.0,0.5215,0.498046875
f10p0128t0302r03,10,128,3,302,318,2.146484375,3.892578125,1.7470703125,0.79833984375,48.0,0.5117,0.52197265625
f10p0128t0302r04,10,128,4,302,318,1.8212890625,4.04296875,2.22265625,0.96044921875,48.0,0.509,0.5166015625
f10p0128t0318r03,10,128,3,318,335,1.966796875,4.10546875,2.138671875,0.8369140625,51.0,0.5464,0.5087890625
f10p0128t0318r04,10,128,4,318,334,2.03125,3.791015625,1.7587890625,0.7216796875,48.0,0.5205,0.48291015625
