,sb,sd,delta,elong_rate,tau
109,2.5370994,4.3980646,1.8609654,0.7244553816945907,47.5
110,2.0149999,3.224903,1.2099031,0.7926274435860751,37.5
111,2.6757028,4.0531554,1.3774525,0.7557450566973023,37.5
112,1.8199999,3.9647257,2.1447258,0.8552652950814581,57.5
113,1.8228992,4.3198566,2.4969573,0.8102284944974449,67.5
114,2.1692693,4.457162,2.2878926,0.9239499845002825,50.0
115,2.665,4.5499988,1.8849989,0.5193589122478778,62.5
116,2.145,4.1051836,1.9601835,0.6918961231525124,62.5
117,3.004378,4.5518446,1.5474665,0.6152855957255631,40.0
118,2.0382414,4.341278,2.3030367,0.8551956449236184,52.5
119,3.171374,5.2,2.0286257,0.7425828961765077,42.5
120,2.145,4.615,2.4699998,0.5721305315096006,80.0
121,1.8199999,3.938365,2.118365,0.8612796798525111,55.0
122,2.665,4.9543386,2.2893386,0.6567544220935692,57.5
123,2.3002272,3.7439394,1.4437124,0.8002172974979138,40.0
124,1.8199999,3.6691322,1.8491322,0.88394208205374,47.5
125,1.8199999,3.746975,1.926975,0.8456840402052803,57.5
126,2.1175246,3.2483547,1.1308299,0.782237503554793,35.0
127,1.625,4.060108,2.4351082,0.8799721130957971,62.5
128,1.7915645,3.5099998,1.7184354,0.9019960403442382,47.5
129,2.2429428,4.079635,1.8366926,0.663688653206031,55.0
130,1.8483943,3.6399994,1.7916051,0.7806428352498106,55.0
131,2.2749999,4.771518,2.4965181,0.48301277052118274,92.5
132,2.4732223,4.506976,2.0337539,0.6285784237201394,62.5
133,2.4659874,4.139597,1.6736096,0.539887243353803,60.0
134,2.145,4.0693483,1.9243482,0.6655671426524271,60.0
135,2.2290175,4.1185093,1.8894919,0.766233867793888,52.5
136,2.08,4.0767894,1.9967896,0.8483176119915861,52.5
137,2.21,4.5499997,2.34,0.6491561632829731,70.0
138,2.145,4.355,2.21,0.7835639348345091,55.0
139,2.2749999,4.355,2.08,0.7404597469267362,55.0
140,2.3049276,4.594243,2.2893155,0.8509710756459634,50.0
141,2.1175246,4.289999,2.1724741,0.47892216347359307,90.0
142,2.0149999,4.475677,2.4606774,0.8010128471178886,65.0
